Time [s],Channel 0
0.936996500,1
0.936996917,0
0.936997750,1
0.936998167,0
0.936999000,1
0.936999417,0
0.937000250,1
0.937000667,0
0.937001500,1
0.937001917,0
0.937002750,1
0.937003167,0
0.937004000,1
0.937004417,0
0.937005250,1
0.937005667,0
0.937006500,1
0.937006917,0
0.937007750,1
0.937008167,0
0.937008917,1
0.937009417,0
0.937010167,1
0.937010667,0
0.937011417,1
0.937011917,0
0.937012667,1
0.937013167,0
0.937013917,1
0.937014333,0
0.937015167,1
0.937015583,0
0.937016417,1
0.937016833,0
0.937017667,1
0.937018083,0
0.937018917,1
0.937019333,0
0.937020167,1
0.937020583,0
0.937021417,1
0.937021833,0
0.937022667,1
0.937023083,0
0.937023917,1
0.937024333,0
0.937025167,1
0.937025583,0
0.937026417,1
0.937026833,0
0.937027667,1
0.937028083,0
0.937028917,1
0.937029333,0
0.937030083,1
0.937030583,0
0.937031333,1
0.937031833,0
0.937032583,1
0.937033083,0
0.937033833,1
0.937034333,0
0.937035083,1
0.937035583,0
0.937036333,1
0.937036833,0
0.937037583,1
0.937038000,0
0.937038833,1
0.937039250,0
0.937040083,1
0.937040500,0
0.937041333,1
0.937041750,0
0.937042583,1
0.937043000,0
0.937043833,1
0.937044250,0
0.937045083,1
0.937045500,0
0.937046333,1
0.937046750,0
0.937047583,1
0.937048000,0
0.937048833,1
0.937049250,0
0.937050083,1
0.937050500,0
0.937051333,1
0.937051750,0
0.937052583,1
0.937053000,0
0.937053833,1
0.937054250,0
0.937055083,1
0.937055500,0
0.937056250,1
0.937056750,0
0.937057500,1
0.937058000,0
0.937058750,1
0.937059250,0
0.937060000,1
0.937060500,0
0.937061250,1
0.937061750,0
0.937062500,1
0.937063000,0
0.937063750,1
0.937064167,0
0.937065000,1
0.937065417,0
0.937066250,1
0.937066667,0
0.937067500,1
0.937067917,0
0.937068750,1
0.937069167,0
0.937070000,1
0.937070417,0
0.937071250,1
0.937071667,0
0.937072500,1
0.937072917,0
0.937073750,1
0.937074167,0
0.937075000,1
0.937075417,0
0.937076250,1
0.937076667,0
0.937077500,1
0.937077917,0
0.937078750,1
0.937079167,0
0.937079917,1
0.937080417,0
0.937081167,1
0.937081667,0
0.937082417,1
0.937082917,0
0.937083667,1
0.937084167,0
0.937084917,1
0.937085417,0
0.937086167,1
0.937086583,0
0.937087417,1
0.937087833,0
0.937088667,1
0.937089083,0
0.937089917,1
0.937090333,0
0.937091167,1
0.937091583,0
0.937092417,1
0.937092833,0
0.937093667,1
0.937094083,0
0.937094917,1
0.937095333,0
0.937096167,1
0.937096583,0
0.937097417,1
0.937097833,0
0.937098667,1
0.937099083,0
0.937099917,1
0.937100333,0
0.937101083,1
0.937101583,0
0.937102333,1
0.937102833,0
0.937103583,1
0.937104083,0
0.937104833,1
0.937105333,0
0.937106083,1
0.937106583,0
0.937107333,1
0.937107750,0
0.937108583,1
0.937109000,0
0.937109833,1
0.937110250,0
0.937111083,1
0.937111500,0
0.937112333,1
0.937112750,0
0.937113583,1
0.937114000,0
0.937114833,1
0.937115250,0
0.937116083,1
0.937116500,0
0.937117333,1
0.937117750,0
0.937118583,1
0.937119000,0
0.937119833,1
0.937120250,0
0.937121083,1
0.937121500,0
0.937122333,1
0.937122750,0
0.937123583,1
0.937124000,0
0.937124750,1
0.937125250,0
0.937126000,1
0.937126500,0
0.937127250,1
0.937127750,0
0.937128500,1
0.937129000,0
0.937129750,1
0.937130167,0
0.937131000,1
0.937131417,0
0.937132250,1
0.937132667,0
0.937133500,1
0.937133917,0
0.937134750,1
0.937135167,0
0.937136000,1
0.937136417,0
0.937137250,1
0.937137667,0
0.937138500,1
0.937138917,0
0.937139750,1
0.937140167,0
0.937141000,1
0.937141417,0
0.937142250,1
0.937142667,0
0.937143500,1
0.937143917,0
0.937144750,1
0.937145167,0
0.937145917,1
0.937146417,0
0.937147167,1
0.937147667,0
0.937148417,1
0.937148917,0
0.937149667,1
0.937150167,0
0.937150917,1
0.937151417,0
0.937152167,1
0.937152667,0
0.937153417,1
0.937153833,0
0.937154667,1
0.937155083,0
0.937155917,1
0.937156333,0
0.937157167,1
0.937157583,0
0.937158417,1
0.937158833,0
0.937159667,1
0.937160083,0
0.937160917,1
0.937161333,0
0.937162167,1
0.937162583,0
0.937163417,1
0.937163833,0
0.937164667,1
0.937165083,0
0.937165917,1
0.937166333,0
0.937167167,1
0.937167583,0
0.937168417,1
0.937168833,0
0.937169583,1
0.937170083,0
0.937170833,1
0.937171333,0
0.937172083,1
0.937172583,0
0.937173333,1
0.937173833,0
0.937174583,1
0.937175083,0
0.937175833,1
0.937176250,0
0.937177083,1
0.937177500,0
0.937178333,1
0.937178750,0
0.937179583,1
0.937180000,0
0.937180833,1
0.937181250,0
0.937182083,1
0.937182500,0
0.937183333,1
0.937183750,0
0.937184583,1
0.937185000,0
0.937185833,1
0.937186250,0
0.937187083,1
0.937187500,0
0.937188333,1
0.937188750,0
0.937189583,1
0.937190000,0
0.937190750,1
0.937191250,0
0.937192000,1
0.937192500,0
0.937193250,1
0.937193750,0
0.937194500,1
0.937195000,0
0.937195750,1
0.937196250,0
0.937197000,1
0.937197417,0
0.937198250,1
0.937198667,0
0.937199500,1
0.937199917,0
0.937200750,1
0.937201167,0
0.937202000,1
0.937202417,0
0.937203250,1
0.937203667,0
0.937204500,1
0.937204917,0
0.937205750,1
0.937206167,0
0.937207000,1
0.937207417,0
0.937208250,1
0.937208667,0
0.937209500,1
0.937209917,0
0.937210750,1
0.937211167,0
0.937212000,1
0.937212417,0
0.937213250,1
0.937213667,0
0.937214417,1
0.937214917,0
0.937215667,1
0.937216167,0
0.937216917,1
0.937217417,0
0.937218167,1
0.937218667,0
0.937219417,1
0.937219917,0
0.937220667,1
0.937221083,0
0.937221917,1
0.937222333,0
0.937223167,1
0.937223583,0
